9.4,0
8.6,1
8.65,2
7.8,3
9.45,4
14.45,5
14.45,6
12.8,7
13.6,8
16.65,9
16.4,10
14.45,11
13.05,12
11.4,13
10.8,14
17.75,15
20.3,16
17.5,17
15.55,18
13.35,19
13.3,20
15.25,22
15.55,23
13.6,24
17.25,25
18.6,26
13.6,27
12.25,28
13.65,29
9.15,31
14.45,32
16.1,33
17.25,34
17.5,35
17.5,36
12.75,37
15.55,38
18.3,39
14.7,40
11.7,41
9.7,42
11.1,43
14.45,44
8.9,45
13.6,46
14.75,47
15.55,48
15.55,49
16.95,50
13.85,51
13.9,52
15.85,53
14.15,54
16.15,55
15.25,56
17.2,57
15,58
17.5,59
11.1,60
15.55,61
14.7,62
20,63
20,64
18.1,65
19.15,66
20.85,67
22.8,68
24.7,69
23.65,70
18.6,71
17.5,72
18.6,73
23.85,74
23.9,75
18.9,76
18.05,77
16.1,78
17.25,79
16.4,80
18.05,81
14.45,82
21.4,83
14.75,84
18.35,85
20.8,86
21.4,87
21.1,88
20.25,89
19.75,90
20.8,91
19.2,92
17.75,93
22.8,94
26.1,95
21.1,96
18.05,97
19.2,98
20.85,99
20.55,100
21.4,101
19.45,102
20.55,103
19.45,104
18.3,105
18.85,106
17.2,107
16.65,108
17.75,109
14.75,110
14.7,111
16.15,112
20.25,113
18.35,114
15,115
14.45,116
13.35,117
14.45,118
15.85,119
18.05,120
18.05,121
16.95,122
20.3,123
21.65,124
22.2,125
21.95,126
18.05,127
16.4,128
13.9,129
15,130
10.25,131
10.55,132
12.2,133
15,134
13.9,135
16.65,136
17.5,137
17.5,138
18.05,139
21.95,140
23.05,141
21.95,142
20.55,143
20.85,144
20.55,145
18.05,146
18.6,147
18.05,148
15,149
15.55,150
13.9,151
17.25,152
19.45,153
18.6,154
19.15,155
17.2,156
16.1,157
16.1,158
16.95,159
16.7,160
15.85,161
14.2,162
11.95,163
13.9,164
14.7,165
15,166
13.9,167
13.1,168
13.05,169
15.25,170
14.15,171
15,172
14.15,173
14.15,174
12.5,175
10.55,176
9.2,177
10.85,178
9.45,179
8.1,180
6.1,181
11.4,182
10,183
5,184
5.55,185
5.55,186
6.1,187
6.1,188
5.55,189
3.85,190
3.9,191
4.2,192
7.5,193
9.2,194
8.05,195
8.6,196
2.8,197
4.15,198
2.2,199
3.9,200
2.8,201
3.05,202
5.55,203
4.15,204
4.2,205
1.1,206
-0.55,207
-0.25,208
-1.4,209
-2.75,210
-1.4,211
-1.4,212
1.4,213
3.35,214
5,215
8.35,216
6.95,217
3.65,218
5.8,219
6.1,220
4.45,221
6.1,222
6.65,223
8.6,224
8.35,225
6.4,226
6.9,227
0.85,228
3.9,229
2.75,230
3.35,231
5.8,232
6.35,233
5.55,234
4.15,235
0.8,236
-0.55,237
1.4,238
3.3,239
3.9,240
4.45,241
9.15,242
5.85,243
3.3,244
5,245
6.7,246
8.9,247
7.8,248
3.9,249
1.65,250
4.7,251
8.05,252
12.2,253
8.6,254
8.35,255
11.65,256
10.25,257
6.65,258
7.2,259
9.45,260
10.55,261
10.3,262
10.8,263
10,264
7.5,265
6.95,266
9.45,267
8.6,268
7.75,269
4.7,270
4.45,271
6.1,272
7.75,273
9.45,274
10,275
7.25,276
7.5,277
8.35,278
8.6,279
7.25,280
9.45,281
11.9,282
6.4,283
5.25,284
4.45,285
5.25,286
5.3,287
7.2,288
7.8,289
5.85,290
5,291
6.1,292
3.9,293
3.05,294
5.55,295
5,296
6.7,297
3.65,298
2.5,299
4.75,300
